,idx,fk,ratio
6318,1263,506,0.4
6319,1263,995,0.4
6320,1264,1264,1.0
6321,1264,1698,1.0
6322,1264,2,0.2
6323,1264,9,0.2
6324,1264,16,0.2
6325,1265,1265,1.0
6326,1265,1696,1.0
6327,1265,33,0.25
6328,1265,34,0.25
6329,1265,41,0.25
6330,1266,1266,1.0
6331,1266,118,0.3333333333333333
6332,1266,175,0.3333333333333333
6333,1266,177,0.3333333333333333
6334,1266,211,0.3333333333333333
6335,1267,1267,1.0
6336,1267,517,0.3333333333333333
6337,1267,745,0.3333333333333333
6338,1267,1125,0.3333333333333333
6339,1267,1130,0.3333333333333333
6340,1268,1268,1.0
6341,1268,825,0.14285714285714285
6342,1268,1154,0.14285714285714285
6343,1268,1309,0.14285714285714285
6344,1268,1449,0.14285714285714285
6345,1269,1269,1.0
6346,1269,1175,0.5
6347,1269,1176,0.5
6348,1269,1741,0.5
6349,1269,1016,0.4
6350,1270,1270,1.0
6351,1270,1717,1.0
6352,1270,2,0.25
6353,1270,9,0.25
6354,1270,16,0.25
6355,1271,1271,1.0
6356,1271,1443,0.25
6357,1271,512,0.2222222222222222
6358,1271,693,0.2
6359,1271,1151,0.2
6360,1272,1272,1.0
6361,1272,217,0.6
6362,1272,425,0.2857142857142857
6363,1272,817,0.2857142857142857
6364,1272,1749,0.2857142857142857
6365,1273,1273,1.0
6366,1273,1457,1.0
6367,1273,2,0.16666666666666666
6368,1273,9,0.16666666666666666
6369,1273,16,0.16666666666666666
6370,1274,1274,1.0
6371,1274,1710,1.0
6372,1274,33,0.3333333333333333
6373,1274,34,0.3333333333333333
6374,1274,41,0.3333333333333333
6375,1275,1275,1.0
6376,1275,2,0.3333333333333333
6377,1275,9,0.3333333333333333
6378,1275,16,0.3333333333333333
6379,1275,51,0.3333333333333333
6380,1276,1276,1.0
6381,1276,293,0.3333333333333333
6382,1276,390,0.3333333333333333
6383,1276,474,0.3333333333333333
6384,1276,867,0.3333333333333333
6385,1277,1277,1.0
6386,1277,1683,1.0
6387,1277,2,0.3333333333333333
6388,1277,9,0.3333333333333333
6389,1277,16,0.3333333333333333
6390,1278,1278,1.0
6391,1278,397,0.5
6392,1278,506,0.5
6393,1278,995,0.5
6394,1278,1410,0.5
6395,1279,1279,1.0
6396,1279,2,0.25
6397,1279,9,0.25
6398,1279,16,0.25
6399,1279,51,0.25
6400,1280,1280,1.0
6401,1280,1805,0.3333333333333333
6402,1280,1123,0.2857142857142857
6403,1280,1296,0.25
6404,1280,1584,0.25
6405,1281,1281,1.0
6406,1281,293,0.5
6407,1281,390,0.5
6408,1281,474,0.5
6409,1281,867,0.5
6410,1282,1282,1.0
6411,1282,1714,0.25
6412,1282,0,0.0
6413,1282,1,0.0
6414,1282,2,0.0
6415,1283,1283,1.0
6416,1283,1719,1.0
6417,1283,108,0.5
6418,1283,495,0.5
6419,1283,765,0.5
6420,1284,1284,1.0
6421,1284,1688,0.5
6422,1284,33,0.3333333333333333
6423,1284,34,0.3333333333333333
6424,1284,41,0.3333333333333333
6425,1285,218,1.0
6426,1285,1285,1.0
6427,1285,518,0.2857142857142857
6428,1285,1825,0.25
6429,1285,33,0.16666666666666666
6430,1286,1286,1.0
6431,1286,33,0.25
6432,1286,34,0.25
6433,1286,41,0.25
6434,1286,50,0.25
6435,1287,1287,1.0
6436,1287,97,0.2857142857142857
6437,1287,664,0.2857142857142857
6438,1287,1016,0.2857142857142857
6439,1287,1548,0.2857142857142857
6440,1288,1288,1.0
6441,1288,1704,1.0
6442,1288,1497,0.6666666666666666
6443,1288,264,0.5
6444,1288,869,0.5
6445,1289,1289,1.0
6446,1289,227,0.4
6447,1289,33,0.3333333333333333
6448,1289,34,0.3333333333333333
6449,1289,41,0.3333333333333333
6450,1290,1290,1.0
6451,1290,400,0.5
6452,1290,1321,0.5
6453,1290,385,0.4
6454,1290,652,0.4
6455,1291,1291,1.0
6456,1291,2,0.3333333333333333
6457,1291,9,0.3333333333333333
6458,1291,16,0.3333333333333333
6459,1291,51,0.3333333333333333
6460,1292,206,1.0
6461,1292,1292,1.0
6462,1292,845,0.25
6463,1292,1226,0.25
6464,1292,1554,0.2
6465,1293,1293,1.0
6466,1293,84,0.5
6467,1293,402,0.5
6468,1293,501,0.5
6469,1293,848,0.5
6470,1294,1294,1.0
6471,1294,1716,1.0
6472,1294,142,0.5
6473,1294,225,0.5
6474,1294,303,0.5
6475,1295,1295,1.0
6476,1295,1151,0.5
6477,1295,1446,0.4
6478,1295,825,0.375
6479,1295,1154,0.375
6480,1296,1296,1.0
6481,1296,1687,0.42857142857142855
6482,1296,107,0.3333333333333333
6483,1296,178,0.3333333333333333
6484,1296,940,0.3333333333333333
6485,1297,1297,1.0
6486,1297,14,0.3333333333333333
6487,1297,17,0.3333333333333333
6488,1297,81,0.3333333333333333
6489,1297,139,0.3333333333333333
6490,1298,1298,1.0
6491,1298,1700,1.0
6492,1298,159,0.5
6493,1298,460,0.5
6494,1298,232,0.4
6495,1299,1299,1.0
6496,1299,100,0.3333333333333333
6497,1299,145,0.3333333333333333
6498,1299,186,0.3333333333333333
6499,1299,203,0.3333333333333333
6500,1300,1300,1.0
6501,1300,669,0.2
6502,1300,698,0.2
6503,1300,569,0.16666666666666666
6504,1300,619,0.16666666666666666
6505,1301,1301,1.0
6506,1301,224,0.3333333333333333
6507,1301,503,0.3333333333333333
6508,1301,711,0.3333333333333333
6509,1301,768,0.3333333333333333
6510,1302,1302,1.0
6511,1302,1697,1.0
6512,1302,962,0.3333333333333333
6513,1302,1929,0.3333333333333333
6514,1302,2,0.2
6515,1303,1303,1.0
6516,1303,1642,0.3333333333333333
6517,1303,1044,0.2857142857142857
6518,1303,33,0.2
6519,1303,34,0.2
6520,1304,224,1.0
6521,1304,1304,1.0
6522,1304,503,0.3333333333333333
6523,1304,711,0.3333333333333333
6524,1304,768,0.3333333333333333
6525,1305,1305,1.0
6526,1305,2,0.3333333333333333
6527,1305,9,0.3333333333333333
6528,1305,16,0.3333333333333333
6529,1305,51,0.3333333333333333
6530,1306,236,1.0
6531,1306,1306,1.0
6532,1306,1934,0.5
6533,1306,33,0.25
6534,1306,34,0.25
6535,1307,225,1.0
6536,1307,1307,1.0
6537,1307,142,0.5
6538,1307,303,0.5
6539,1307,304,0.5
6540,1308,1308,1.0
6541,1308,1339,0.5
6542,1308,1311,0.4
6543,1308,1333,0.4
6544,1308,1296,0.3333333333333333
6545,1309,1309,1.0
6546,1309,825,0.42857142857142855
6547,1309,1154,0.42857142857142855
6548,1309,1449,0.42857142857142855
6549,1309,1718,0.4
6550,1310,1310,1.0
6551,1310,1690,0.8333333333333334
6552,1310,723,0.5
6553,1310,1758,0.5
6554,1310,873,0.42857142857142855
6555,1311,1311,1.0
6556,1311,1685,0.8
6557,1311,1308,0.4
6558,1311,1339,0.4
6559,1311,1333,0.3333333333333333
6560,1312,1312,1.0
6561,1312,82,0.16666666666666666
6562,1312,514,0.16666666666666666
6563,1312,553,0.16666666666666666
6564,1312,681,0.16666666666666666
6565,1313,1313,1.0
6566,1313,1360,0.42857142857142855
6567,1313,1409,0.3333333333333333
6568,1313,1276,0.25
6569,1313,1322,0.2
6570,1314,1314,1.0
6571,1314,1708,1.0
6572,1314,155,0.5
6573,1314,702,0.5
6574,1314,1179,0.5
6575,1315,1315,1.0
6576,1315,776,0.5
6577,1315,235,0.4
6578,1315,415,0.4
6579,1315,1335,0.4
6580,1316,1316,1.0
6581,1316,221,0.6666666666666666
6582,1316,100,0.25
6583,1316,145,0.25
6584,1316,186,0.25
6585,1317,1317,1.0
6586,1317,100,0.25
6587,1317,145,0.25
6588,1317,186,0.25
6589,1317,203,0.25
6590,1318,214,1.0
6591,1318,1318,1.0
6592,1318,2,0.25
6593,1318,9,0.25
6594,1318,16,0.25
6595,1319,1319,1.0
6596,1319,997,0.5
6597,1319,1498,0.5
6598,1319,459,0.4
6599,1319,1556,0.4
6600,1320,211,1.0
6601,1320,1320,1.0
6602,1320,118,0.3333333333333333
6603,1320,175,0.3333333333333333
6604,1320,177,0.3333333333333333
6605,1321,1321,1.0
6606,1321,1686,0.6
6607,1321,400,0.5
6608,1321,1290,0.5
6609,1321,385,0.4
6610,1322,1322,1.0
6611,1322,235,0.5714285714285714
6612,1322,1276,0.3333333333333333
6613,1322,776,0.25
6614,1322,1315,0.25
6615,1323,1323,1.0
6616,1323,1276,0.1
6617,1323,1313,0.1
6618,1323,1360,0.1
6619,1323,1825,0.1
6620,1324,1324,1.0
6621,1324,1029,0.2
6622,1324,0,0.0
6623,1324,1,0.0
6624,1324,2,0.0
6625,1325,1325,1.0
6626,1325,2,0.3333333333333333
6627,1325,9,0.3333333333333333
6628,1325,16,0.3333333333333333
6629,1325,51,0.3333333333333333
6630,1326,1326,1.0
6631,1326,1689,0.6
6632,1326,2,0.25
6633,1326,9,0.25
6634,1326,16,0.25
6635,1327,1327,1.0
6636,1327,1703,1.0
6637,1327,142,0.5
6638,1327,225,0.5
6639,1327,303,0.5
6640,1328,1328,1.0
6641,1328,817,0.2857142857142857
6642,1328,1749,0.2857142857142857
6643,1328,725,0.25
6644,1328,753,0.25
6645,1329,1329,1.0
6646,1329,1692,0.6666666666666666
6647,1329,1551,0.4
6648,1329,1873,0.4
6649,1329,475,0.3333333333333333
6650,1330,1330,1.0
6651,1330,517,0.25
6652,1330,745,0.25
6653,1330,1125,0.25
6654,1330,1130,0.25
6655,1331,1331,1.0
6656,1331,815,0.3333333333333333
6657,1331,2,0.16666666666666666
6658,1331,9,0.16666666666666666
6659,1331,16,0.16666666666666666
6660,1332,226,1.0
6661,1332,1332,1.0
6662,1332,33,0.3333333333333333
6663,1332,34,0.3333333333333333
6664,1332,41,0.3333333333333333
6665,1333,1333,1.0
6666,1333,1308,0.4
6667,1333,1339,0.4
6668,1333,1311,0.3333333333333333
6669,1333,1296,0.2857142857142857
6670,1334,1334,1.0
6671,1334,653,0.5
6672,1334,14,0.3333333333333333
6673,1334,17,0.3333333333333333
