region,county_name,address,total_rank,total_comments_count,altitude,campground_emo_geo_ID,campground_ID,camping_site_name,campground_category,hot,negative_ratio,positive_ratio,hot_but_negative,latitude,longitude,count
北區,桃園市,桃園市復興區神木路193-2號,4.0,3,1250.0,1197,1445,拉拉山 天恩農場,差評,,0.33,0.67,,24.8153769,121.351898,1
北區,桃園市,桃園市復興區,5.0,10,900.0,1198,1446,拉拉山 微風山崚,好評,,0.0,1.0,,24.8153769,121.351898,1
北區,桃園市,桃園市復興區華陵里中心路138-2號,4.0,27,1700.0,1199,1447,拉拉山 長榮露營區,差評,,0.08,0.92,,24.8153769,121.351898,1
北區,桃園市,桃園市復興區霞雲里流霞路86號,4.0,3,400.0,1214,1462,歡樂谷露營區,差評,,0.0,1.0,,24.8153769,121.351898,1
北區,桃園市,桃園市中壢區福達路二段628號,4.0,761,150.0,1216,1464,水樂活親子農場,差評,Hot,0.04,0.96,,24.953,121.225,1
北區,桃園市,桃園市復興區霞雲里5鄰佳志19-6號,5.0,14,650.0,1237,1485,逍遙遊秘境露營區,好評,,0.0,1.0,,24.8153769,121.351898,1
北區,苗栗縣,苗栗縣三灣鄉北埔村小北埔7鄰2-13號,4.4,205,90.0,6,18,三灣水漾森林露營區,普通,,0.08,0.92,,24.651154,120.953763,1
北區,苗栗縣,苗栗縣泰安鄉,4.6,154,750.0,7,22,云仙谷休閒露營區,普通,,0.0,1.0,,24.4474833,120.9077,1
北區,苗栗縣,苗栗縣泰安鄉八卦村3鄰53號,4.6,173,500.0,8,26,亞哇斯露營區,普通,,0.08,0.92,,24.4474833,120.9077,1
北區,苗栗縣,苗栗縣泰安鄉,4.7,186,850.0,10,30,伊夕尚露營區,普通,,0.05,0.95,,24.4474833,120.9077,1
北區,苗栗縣,苗栗縣南庄鄉田美村7鄰田美125-1號,4.5,247,200.0,14,41,南庄 鳳凰谷,普通,Hot,0.08,0.92,,24.628147,121.016689,1
北區,苗栗縣,苗栗縣泰安鄉中興村5鄰司馬限18之10號,4.4,473,1200.0,17,57,司馬限360度景觀,普通,Hot,0.3,0.7,,24.4474833,120.9077,1
北區,苗栗縣,苗栗縣泰安鄉中興村,4.6,448,1240.0,18,58,司馬限山嵐,普通,Hot,0.16,0.84,,24.4474833,120.9077,1
北區,苗栗縣,苗栗縣南庄鄉,4.3,156,1370.0,21,61,吻吻露營區,普通,,0.15,0.85,,24.628147,121.016689,1
北區,苗栗縣,苗栗縣泰安鄉梅園村4鄰天狗7之6號,4.6,169,910.0,32,90,好地方露營區,普通,,0.06,0.94,,24.4474833,120.9077,1
北區,苗栗縣,苗栗縣通霄鎮圳頭里2鄰圳頭23之6號,4.4,215,120.0,37,104,山峰點伙露營區,普通,,0.22,0.78,,24.490864,120.681063,1
北區,苗栗縣,苗栗縣獅潭鄉新豐村八角坑34號,4.8,402,680.0,41,114,巧遇露營區,好評,Hot,0.03,0.97,,24.5408861,120.9217385,1
北區,苗栗縣,苗栗縣泰安鄉大興村4鄰61-7號,4.3,334,800.0,66,187,楓李小棧,普通,Hot,0.25,0.75,,24.4474833,120.9077,1
北區,苗栗縣,苗栗縣泰安鄉錦水村10鄰橫龍山64之36號,4.8,308,1200.0,69,198,武嵐露營區,好評,Hot,0.17,0.83,,24.4474833,120.9077,1
